Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,,,,,,,
173,Abilene Christian,WAC,0-0,-0.77,97.3,98.1,72.8,,,,,,,
301,Air Force,MWC,0-0,-11.99,94.5,106.5,67.4,,,,,,,
141,Akron,MAC,0-0,3.13,102.3,99.2,72.3,,,,,,,
19,Alabama,SEC,0-0,20.48,111.7,91.2,76.4,,,,,,,
329,Alabama A&M,SWAC,0-0,-16.14,87.6,103.7,71.6,,,,,,,
347,Alabama St.,SWAC,0-0,-20.75,83.8,104.5,74.1,,,,,,, 
279,Albany,AE,0-0,-9.41,92.2,101.6,72.9,,,,,,,
341,Alcorn St.,SWAC,0-0,-18.28,88.2,106.5,73.2,,,,,,,
270,American,Pat,0-0,-8.48,93.4,101.9,71.4,,,,,,,
170,Appalachian St.,SB,0-0,-0.49,98.9,99.4,70.2,,,,,,,
47,Arizona,P12,0-0,15.5,107.7,92.2,72.3,,,,,,,
58,Arizona St.,P12,0-0,13.7,107.8,94.1,75.5,,,,,,,
15,Arkansas,SEC,0-0,21.02,110.4,89.4,75.1,,,,,,,
356,Arkansas Pine Bluff,SWAC,0-0,-29.08,81.7,110.8,72,,,,,,,
184,Arkansas St.,SB,0-0,-1.62,101.1,102.7,72,,,,,, ,
253,Army,Pat,0-0,-6.73,95.4,102.1,73,,,,,,,
28,Auburn,SEC,0-0,18.16,110.4,92.2,74.5,,,,,,,
308,Austin Peay,OVC,0-0,-12.39,94.6,107,72,,,,,,,
260,Ball St.,MAC,0-0,-7.35,95.6,102.9,74.1,,,,,,,
4,Baylor,B12,0-0,25.3,114.4,89.1,71.1,,,,,,,
175,Bellarmine,ASun,0-0,-1.08,103.4,104.5,70.1,,,,,,,
77,Belmont,OVC,0-0,11.2,107.9,96.7,75,,,,,,,
354,Bethune Cookman,SWAC,0-0,-25.42,85.5,111,72.5,,,,,,,
315,Binghamton,AE,0-0,-13.96,93,106.9,71.7,,,,,,,
80,Boise St.,MWC,0-0,10.65,105.2,94.5,72.8,,,,,,,
146,Boston College,ACC,0-0,2.55,101.3,98.7,70,,,,,,,
198,Boston University,Pat,0-0,-2.88,99.7,102.6,70.6,,,,,,,
139,Bowling Green,MAC,0-0,3.16,104,100.8,73.7,,,,,,,
174,Bradley,MVC,0-0,-1,99.1,100.1,70.6,,,,,,,
251,Brown,Ivy,0-0,-6.66,93.2,99.9,73.8,,,,,,,
204,Bryant,NEC,0-0,-3.54,99.7,103.3,75.7,,,,,,,
302,Bucknell,Pat,0-0,-12.02,93.8,105.8,74.8,,,,,,,
94,Buffalo,MAC,0-0,8.69,106.6,97.9,74.9,,,,,,,
55,Butler,BE,0-0,13.93,107.2,93.3,69.4,,,,,,,
38,BYU,WCC,0-0,16.56,109.5,93,72.4,,,,,,,
206,Cal Baptist,WAC,0-0,-3.63,102,105.6,73.6,,,,,,,
305,Cal Poly,BW,0-0,-12.14,92.7,104.9,71.5,,,,,,,
205,Cal St. Bakersfield,BW,0-0,-3.57,98.2,101.8,69.1,,,,,,,
207,Cal St. Fullerton,BW,0-0,-3.63,100.4,104,74.5,,,,,,,
283,Cal St. Northridge,BW,0-0,-9.82,95.9,105.7,73.8,,,,,,,
101,California,P12,0-0,7.47,101.1,93.6,69.8,,,,,,,
169,Campbell,BSth,0-0,-0.48,101.5,102,69.4,,,,,,,
254,Canisius,MAAC,0-0,-6.77,96.5,103.3,73.8,,,,,,,
332,Central Arkansas,ASun,0-0,-16.7,92.5,109.2,74.2,,,,,,,
342,Central Connecticut,NEC,0-0,-19.99,91,111,72.5,,,,,,,
303,Central Michigan,MAC,0-0,-12.02,94.8,106.8,73.4,,,,,,,
250,Charleston,CAA,0-0,-6.61,97.6,104.2,74.6,,,,,,,
340,Charleston Southern,BSth,0-0,-17.67,90,107.7,72.9,,,,,,,
201,Charlotte,CUSA,0-0,-3.23,96.8,100,68.5,,,,,,,
156,Chattanooga,SC,0-0,0.59,101.1,100.5,70.8,,,,,,,
357,Chicago St.,WAC,0-0,-30.95,83.4,114.3,72.6,,,,,,,
117,Cincinnati,Amer,0-0,5.42,101.5,96.1,72.2,,,,,,,
59,Clemson,ACC,0-0,13.56,106.4,92.8,69.5,,,,,,,
151,Cleveland St.,Horz,0-0,1.06,101.4,100.3,70.9,,,,,,,
209,Coastal Carolina,SB,0-0,-3.82,98.4,102.2,74.3,,,,,,,
121,Colgate,Pat,0-0,5.24,105.7,100.4,74,,,,,,,
35,Colorado,P12,0-0,16.92,108,91,71.1,,,,,,,
