Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT
1,Gonzaga,WCC,1-0,31.42,119.6,88.2,75.1
2,Michigan,B10,1-0,27.85,114.9,87.0,70.4
3,Kansas,B12,2-0,27.12,115.4,88.3,72.2
4,Purdue,B10,2-0,25.54,115.9,90.3,70.0
5,Illinois,B10,2-0,25.5,111.7,86.2,72.4
6,UCLA,P12,2-0,24.4,113.7,89.3,69.5
7,Baylor,B12,1-0,24.3,113.7,89.4,70.7
8,Duke,ACC,2-0,22.68,111.5,88.8,72.9
9,Villanova,BE,1-1,22.59,114.8,92.3,67.7
10,Houston,Amer,2-0,22.12,110.8,88.7,67.1
11,Alabama,SEC,2-0,21.86,113.3,91.4,74.9
12,Texas,B12,1-0,21.62,111.4,89.8,67.7
13,Tennessee,SEC,1-0,21.39,109.9,88.5,69.9
14,Texas Tech,B12,2-0,20.89,110.0,89.1,68.8
15,Memphis,Amer,1-0,20.84,108.7,87.8,73.4
16,Kentucky,SEC,1-1,20.79,111.5,90.7,71.4
17,USC,P12,1-0,20.68,109.6,88.9,70.0
18,Arkansas,SEC,1-0,20.6,109.8,89.2,73.0
19,Ohio St.,B10,2-0,20.4,112.7,92.3,68.7
20,Iowa,B10,2-0,19.75,113.1,93.3,73.9
21,Connecticut,BE,1-0,19.51,109.2,89.7,70.0
22,Oregon,P12,2-0,19.41,112.6,93.2,68.7
23,Florida St.,ACC,1-0,19.15,109.9,90.8,73.8
24,Auburn,SEC,2-0,18.97,110.4,91.4,73.4
25,Maryland,B10,2-0,18.84,109.0,90.2,70.1
26,Michigan St.,B10,1-1,18.81,108.0,89.2,72.4
27,St.,A10,1-0,18.58,109.8,91.2,68.0
28,Notre Dame,ACC,0-0,18.2,113.7,95.5,70.2
29,Virginia Tech,ACC,2-0,18.13,110.2,92.0,68.7
30,Florida,SEC,1-0,18.1,109.7,91.6,70.2
31,Loyola Chicago,MVC,1-0,18.02,109.1,91.1,70.3
32,LSU,SEC,2-0,17.93,110.8,92.8,72.8
33,San Francisco,WCC,2-0,17.65,110.1,92.4,71.2
34,San Diego,MWC,1-1,17.16,105.5,88.3,69.2
35,Indiana,B10,2-0,16.83,106.3,89.5,72.0
36,Xavier,BE,2-0,16.76,109.2,92.4,69.9
